spectrum_id,inchikey,ion_mode,precursor_mz,instrument_type,contributor,license
MSBNK-ACES_SU-AS000377,CURUTKGFNZGFSE-UHFFFAOYSA-N,POSITIVE,310.2734,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000378,JGOAIQNSOGZNBX-UHFFFAOYSA-N,POSITIVE,312.1954,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000379,FSVJFNAIGNNGKK-UHFFFAOYSA-N,POSITIVE,313.1902,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000380,LOUPRKONTZGTKE-LHHVKLHASA-N,POSITIVE,325.19,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000381,DUHUCHOQIDJXAT-OLVMNOGESA-N,POSITIVE,333.2415,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000382,JIVPVXMEBJLZRO-UHFFFAOYSA-N,POSITIVE,339.0193,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000383,VSJKWCGYPAHWDS-FQEVSTJZSA-N,POSITIVE,349.1174,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000384,RZTAMFZIAATZDJ-UHFFFAOYSA-N,POSITIVE,384.0761,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000385,XBHBWNFJWIASRO-UHFFFAOYSA-N,POSITIVE,386.1308,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000386,SLVMESMUVMCQIY-UHFFFAOYSA-N,POSITIVE,387.1552,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000387,ICMGLRUYEQNHPF-UHFFFAOYSA-N,POSITIVE,388.233,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000388,OCJYIGYOJCODJL-UHFFFAOYSA-N,POSITIVE,391.1931,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000389,UREBDLICKHMUKA-DVTGEIKXSA-N,POSITIVE,393.2068,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000390,HDWIHXWEUNVBIY-UHFFFAOYSA-N,POSITIVE,422.0443,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000391,OKBVVJOGVLARMR-QSWIMTSFSA-N,POSITIVE,454.0465,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000392,FBOZXECLQNJBKD-ZDUSSCGKSA-N,POSITIVE,455.1769,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000393,QOYHHIBFXOOADH-UHFFFAOYSA-N,POSITIVE,476.2496,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000394,KJEBULYHNRNJTE-DHZHZOJOSA-N,POSITIVE,493.1962,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000395,LLJFMFZYVVLQKT-UHFFFAOYSA-N,POSITIVE,528.2159,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000396,QWAXKHKRTORLEM-UGJKXSETSA-N,POSITIVE,671.3904,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000397,WDZCUPBHRAEYDL-GZAUEHORSA-N,POSITIVE,877.4575,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000398,XRECTZIEBJDKEO-UHFFFAOYSA-N,POSITIVE,130.0408,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000399,AEOCXXJPGCBFJA-UHFFFAOYSA-N,POSITIVE,167.0631,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000400,UGJMXCAKCUNAIE-UHFFFAOYSA-N,POSITIVE,172.1329,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000401,KPQZUUQMTUIKBP-UHFFFAOYSA-N,POSITIVE,186.0869,LC-ESI-QFT,ACES_SU,CC BY
